,char_id,example #,x,y
0,79,0,0.18666666666666668,0.2866666666666667
1,79,1,0.30666666666666664,0.7733333333333333
2,79,2,0.6866666666666666,0.74
3,79,3,0.74,0.7333333333333333
4,79,4,0.25333333333333335,0.18
5,79,5,0.6866666666666666,0.76
6,79,6,0.24,0.7266666666666667
7,79,7,0.22666666666666666,0.68
8,79,8,0.24,0.7533333333333333
9,79,9,0.23333333333333334,0.30666666666666664
10,79,10,0.6733333333333333,0.82
11,79,11,0.2866666666666667,0.24666666666666667
12,79,12,0.32666666666666666,0.23333333333333334
13,79,13,0.18666666666666668,0.17333333333333334
14,79,14,0.7933333333333333,0.8133333333333334
15,79,15,0.78,0.2733333333333333
16,79,16,0.7333333333333333,0.20666666666666667
17,79,17,0.7466666666666667,0.2733333333333333
18,79,18,0.2866666666666667,0.7133333333333334
19,79,19,0.3333333333333333,0.78
20,79,20,0.24666666666666667,0.8266666666666667
21,79,21,0.6933333333333334,0.7866666666666666
22,79,22,0.8333333333333334,0.24
23,79,23,0.32,0.32
