,char_id,example #,x,y
0,696,0,0.6933333333333334,0.18666666666666668
1,696,1,0.21333333333333335,0.3
2,696,2,0.21333333333333335,0.6666666666666666
3,696,3,0.2,0.8133333333333334
4,696,4,0.29333333333333333,0.7866666666666666
5,696,5,0.8133333333333334,0.2866666666666667
6,696,6,0.21333333333333335,0.7133333333333334
7,696,7,0.29333333333333333,0.19333333333333333
8,696,8,0.8333333333333334,0.74
9,696,9,0.3333333333333333,0.72
10,696,10,0.7733333333333333,0.7333333333333333
11,696,11,0.6933333333333334,0.8333333333333334
12,696,12,0.26,0.6866666666666666
13,696,13,0.25333333333333335,0.7066666666666667
14,696,14,0.24,0.72
15,696,15,0.7,0.7733333333333333
16,696,16,0.7733333333333333,0.3
17,696,17,0.21333333333333335,0.7266666666666667
18,696,18,0.72,0.7666666666666667
19,696,19,0.76,0.30666666666666664
20,696,20,0.2866666666666667,0.24666666666666667
21,696,21,0.3333333333333333,0.7733333333333333
22,696,22,0.2866666666666667,0.2733333333333333
23,696,23,0.21333333333333335,0.72
