,char_id,example #,x,y
0,832,0,0.8333333333333334,0.22
1,832,1,0.6666666666666666,0.7533333333333333
2,832,2,0.78,0.8133333333333334
3,832,3,0.68,0.74
4,832,4,0.68,0.18666666666666668
5,832,5,0.18666666666666668,0.31333333333333335
6,832,6,0.6666666666666666,0.26666666666666666
7,832,7,0.24666666666666667,0.6666666666666666
8,832,8,0.76,0.7133333333333334
9,832,9,0.7733333333333333,0.6666666666666666
10,832,10,0.23333333333333334,0.7733333333333333
11,832,11,0.6666666666666666,0.31333333333333335
12,832,12,0.26,0.24
13,832,13,0.78,0.6866666666666666
14,832,14,0.23333333333333334,0.22
15,832,15,0.7466666666666667,0.31333333333333335
16,832,16,0.28,0.6666666666666666
17,832,17,0.7066666666666667,0.7533333333333333
18,832,18,0.7066666666666667,0.7733333333333333
19,832,19,0.8133333333333334,0.32666666666666666
20,832,20,0.8133333333333334,0.76
21,832,21,0.3,0.7266666666666667
22,832,22,0.78,0.6866666666666666
23,832,23,0.7133333333333334,0.78
