,char_id,example #,x,y
0,752,0,0.7533333333333333,0.23333333333333334
1,752,1,0.7533333333333333,0.24666666666666667
2,752,2,0.24666666666666667,0.6666666666666666
3,752,3,0.2733333333333333,0.7466666666666667
4,752,4,0.18666666666666668,0.30666666666666664
5,752,5,0.2866666666666667,0.23333333333333334
6,752,6,0.7466666666666667,0.78
7,752,7,0.7,0.6866666666666666
8,752,8,0.7266666666666667,0.7266666666666667
9,752,9,0.8266666666666667,0.8333333333333334
10,752,10,0.30666666666666664,0.6933333333333334
11,752,11,0.26666666666666666,0.2866666666666667
12,752,12,0.82,0.6866666666666666
13,752,13,0.6866666666666666,0.2733333333333333
14,752,14,0.7866666666666666,0.22
15,752,15,0.78,0.2866666666666667
16,752,16,0.24,0.7333333333333333
17,752,17,0.8066666666666666,0.78
18,752,18,0.76,0.3
19,752,19,0.8266666666666667,0.23333333333333334
20,752,20,0.32,0.26
21,752,21,0.7066666666666667,0.7
22,752,22,0.28,0.21333333333333335
23,752,23,0.7333333333333333,0.7533333333333333
