,char_id,example #,x,y
0,364,0,0.7933333333333333,0.8333333333333334
1,364,1,0.78,0.3
2,364,2,0.8,0.19333333333333333
3,364,3,0.8133333333333334,0.32
4,364,4,0.82,0.68
5,364,5,0.7266666666666667,0.22
6,364,6,0.6733333333333333,0.25333333333333335
7,364,7,0.82,0.31333333333333335
8,364,8,0.7266666666666667,0.8066666666666666
9,364,9,0.22666666666666666,0.23333333333333334
10,364,10,0.7066666666666667,0.26
11,364,11,0.22666666666666666,0.7666666666666667
12,364,12,0.18666666666666668,0.2866666666666667
13,364,13,0.30666666666666664,0.31333333333333335
14,364,14,0.17333333333333334,0.78
15,364,15,0.7866666666666666,0.7866666666666666
16,364,16,0.8266666666666667,0.74
17,364,17,0.21333333333333335,0.7866666666666666
18,364,18,0.28,0.7666666666666667
19,364,19,0.7,0.7933333333333333
20,364,20,0.24,0.7
21,364,21,0.24666666666666667,0.68
22,364,22,0.17333333333333334,0.7333333333333333
23,364,23,0.29333333333333333,0.2866666666666667
